,r,lr,lora_alpha,model_size,score,epoch,multi,gen,mmlu,Abstract (target),Introduction (target),Introduction-multi (target),Conclusion (target),Abstract (irrelevant 1),Introduction (irrelevant 1),Introduction-multi (irrelevant 1),Conclusion (irrelevant 1),Introduction (irrelevant 2),Total texts,Total instructions,MMLU,LoRA layers
436,39,8.246599955238309e-05,439,7,0.12069375833567425,1,0.9090909090909091,0.12069375833567425,0.34,13,245,656,147,45,82,3461,63,4,4908,182,10,4
431,51,6.625440506563047e-05,347,7,0.11215425745457291,1,0.743801652892562,0.11215425745457291,0.24,16,218,716,95,59,134,2703,46,1,4053,46,19,4
851,51,5.197044738916898e-05,409,7,0.12464277730108468,1,0.859504132231405,0.12464277730108468,0.36,15,111,407,134,18,170,1793,43,53,3094,336,14,4
454,43,6.133030146624511e-05,387,7,0.12432154119341483,1,0.859504132231405,0.12432154119341483,0.16,14,162,304,86,36,61,2183,69,9,3105,174,7,4
859,51,6.50865918329717e-05,440,7,0.12163027059619054,1,0.8099173553719008,0.12163027059619054,0.22,19,98,203,215,24,144,591,15,26,1491,144,12,4
424,57,6.880576287793598e-05,392,7,0.11027340645999688,1,0.8099173553719008,0.11027340645999688,0.26,8,186,522,219,77,2,11301,110,3,12548,108,12,4
459,43,2.9267562003482183e-05,389,7,0.12894890612541196,1,0.859504132231405,0.12894890612541196,0.38,9,165,311,190,30,212,2210,204,12,3517,168,6,4
816,42,5.978128654869109e-05,480,7,0.1246832187933951,1,0.8677685950413223,0.1246832187933951,0.32,13,206,539,193,12,244,1347,47,38,2952,303,10,4
163,106,8.12803469609863e-06,863,7,0.09516511547629951,1,0.7024793388429752,0.09516511547629951,0.32,12,193,522,338,37,1631,172,10,27,2958,1,15,4
467,41,1.8469464085972112e-07,244,7,0.11825404967734268,1,0.743801652892562,0.11825404967734268,0.38,1,140,398,7,2,3,5,2,8,603,29,8,4
470,89,1.1597731069201665e-07,364,7,0.11949286929636127,1,0.7107438016528925,0.11949286929636127,0.36,2,241,252,20,4,1,1,1,2,675,148,3,4
460,38,1.1130269009705853e-06,262,7,0.12339558366359153,1,0.7603305785123967,0.12339558366359153,0.4,1,121,490,9,2,3,3,2,6,671,25,9,4
463,32,2.918716937456647e-05,615,7,0.05890045831569104,1,0.18181818181818182,0.05890045831569104,0.26,13,48,158,2,7,1,1,11,67388,67633,2,2,8
414,76,1.275676526834512e-07,184,7,0.1106435931786872,1,0.6859504132231405,0.1106435931786872,0.24,4,56,157,2,23,1,2,8,129145,129403,2,3,8
777,34,8.794087373176828e-05,473,7,0.11850003171422645,1,0.9256198347107438,0.11850003171422645,0.3,14,95,307,242,11,310,2602,58,9,3991,339,4,4
786,35,8.523693483699226e-05,438,7,0.11318707482498527,1,0.9338842975206612,0.11318707482498527,0.28,10,178,409,262,21,393,2513,37,13,4363,522,5,4
491,52,2.1662346160865584e-05,829,7,0.11604115770039235,1,0.8099173553719008,0.11604115770039235,0.24,27,184,513,169,3,724,210,3,69763,71674,75,3,4
796,39,7.200172055333263e-05,355,7,0.12591961308513067,1,0.9173553719008265,0.12591961308513067,0.3,8,141,249,99,27,466,967,90,7,2879,819,6,4
785,34,8.794087373176828e-05,473,7,0.11309279962695759,9,0.8925619834710744,0.11309279962695759,0.32,14,95,307,242,11,310,2602,58,9,3991,339,4,4
485,54,3.807154692448701e-05,759,7,0.12536526884725,1,0.6446280991735537,0.12536526884725,0.42,30,110,489,241,4,76,68,4,3,1044,15,4,4
483,74,4.209501475124551e-07,323,7,0.11223253611165386,1,0.7768595041322314,0.11223253611165386,0.2,9,151,156,59,1,7,8,7,41,1224,385,400,8
468,72,9.089108592659689e-05,628,7,0.0009784077499666991,1,0.23140495867768596,0.0009784077499666991,0.16,17,50,186,2,11,1,2,8,2,283,2,2,8
5,65,9.088370143553302e-05,680,7,0.0602899466931218,2,0.6776859504132231,0.0602899466931218,0.26,45,35,1,1,7,2,937,4,23647,25045,17,349,4
111,55,4.503400105503395e-06,431,7,0.11593540406727805,1,0.743801652892562,0.11593540406727805,0.38,20,81,281,24,7,19,15,14,1,471,8,1,4
33,91,7.564007970215368e-05,39,7,0.041243704301799036,1,0.6446280991735537,0.041243704301799036,0.26,36,7,320,10,32,2079,3925,29728,87,40602,1,4377,4
482,90,4.331658619922374e-06,403,7,0.1084100623386124,10,0.7933884297520661,0.1084100623386124,0.36,4,85,721,31,8,30,15,1,2,1023,125,1,4
795,35,8.523693483699226e-05,438,7,0.1172899403772793,10,0.9173553719008265,0.1172899403772793,0.26,10,178,409,262,21,393,2513,37,13,4363,522,5,4
1113,51,6.281062003838297e-05,451,7,0.12850546449290848,1,0.8842975206611571,0.12850546449290848,0.38,18,113,402,223,19,196,647,15,53,1841,141,14,4
1187,60,8.765969169041082e-05,690,7,0.14299513709380535,9,0.9421487603305785,0.14299513709380535,0.3,26,225,312,64,8,156,343,20,7,1697,532,4,4
805,39,7.200172055333263e-05,355,7,0.12520797388978958,10,0.9256198347107438,0.12520797388978958,0.26,8,141,249,99,27,466,967,90,7,2879,819,6,4
